"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000000001",1755,1226,2333,1330,1507,1287,1081,853,1108,1038
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",102,43,122,60,57,76,40,48,17,27
"ENSMUSG00000000031",3,2,0,2,1,7,0,1,0,0
"ENSMUSG00000000037",4,11,12,15,7,8,8,13,7,7
"ENSMUSG00000000049",4,0,24,3,11,5,0,0,2,4
"ENSMUSG00000000056",505,194,541,239,277,240,180,146,157,161
"ENSMUSG00000000058",65,95,29,97,92,85,81,54,70,90
"ENSMUSG00000000078",1031,575,1024,599,576,533,589,340,438,901
"ENSMUSG00000000085",176.999480901766,473,276.010630316784,457.550194637299,482,465.13646870071,457,449,453.914632758161,341
"ENSMUSG00000000088",2023,390,3324,762,625,1083,508,207,334,332
"ENSMUSG00000000093",2,55,10,27,76,41,42,44,37,57
"ENSMUSG00000000094",2,0,1,0,1,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",74.0941678215093,39.1556060778414,9.02732571968821,27.2041739493141,16.0345296933597,37.0340363698076,14.0036946114624,26.1677140549204,10.0429168973601,23.1049661718592
"ENSMUSG00000000125",9,1,12,4,9,7,4,1,3,0
"ENSMUSG00000000126",13,33,3,10,16,14,33,18,26,54
"ENSMUSG00000000127",87,176,149,172,205,141,162,144,157,130
"ENSMUSG00000000131",875.009527048845,1043.71697708192,929.509256112418,900.0743760665,1188.81601791905,843.22840619633,942.280205486491,846.716707181624,794.169225867195,786.969882468509
"ENSMUSG00000000134",376,552,475,483,566,542,488,398,429,440
"ENSMUSG00000000142",201,138,576,139,175,151,94,62,104,94
"ENSMUSG00000000148",148,255,214,188,258,234,220,167,163,178
"ENSMUSG00000000149",288,703,335,526,779,661,587,513,590,468
"ENSMUSG00000000154",780,49,1068,235,203,281,48,19,29,22
"ENSMUSG00000000157",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000159",411,110,652,195,190,184,147,100,96,62
"ENSMUSG00000000167",14,34,15,23,38,42,48,32,49,26
"ENSMUSG00000000168",774,584,1308,611,674,632,487,491,561,445
"ENSMUSG00000000171",3258,1177,5078,1542,1679,2039,1285,922,1189,997
"ENSMUSG00000000182",10,1,0,0,1,1,0,1,0,1
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",2561,15599,4358,10598,14945,8994,11866,12075,13579,10085
"ENSMUSG00000000194",1028.58728339359,913.024986099192,1533.21281652538,904.486070223172,1148.03062532609,977.182993218505,792,757.246630388947,883.270284796305,640.274739625828
"ENSMUSG00000000197",45,610,147,471,631,349,492,504.000089644606,646,422
"ENSMUSG00000000202",5,124,31,97,154,138,118,99,110,56
"ENSMUSG00000000204",21,4,150,15,26,27.0293619451643,6,5,2,5
"ENSMUSG00000000214",9,191,79,190,314,355,267,205,193,135
"ENSMUSG00000000215",84615.39469979,1988892.36301696,434833.813020033,1596491.68585162,2671124.0815996,2543365.0063327,2150594.3745188,1846359.16986633,1996151.39327515,1322605.37493626
"ENSMUSG00000000216",8,256,48,126,249,125,298,305,361,357
"ENSMUSG00000000223",3.00011356009762,8.00014112759774,4.00005137394586,0,6,1.00002151071895,4.00005955772119,1.00001309926986,2.00008207600211,7.0006306705535
"ENSMUSG00000000244",196.543280318053,81.0755932890308,0,67.1437422094701,54.0472853635881,128.147213780405,19.064592713238,40.0588920851019,32.32923887312,34.8301153778769
"ENSMUSG00000000247",2,0,0,1,1,0,0,0,0,0
"ENSMUSG00000000248",32,3,1,2,4,9,0,0,0,1
"ENSMUSG00000000253",70,740,184,602,899,704,632,514,702,565
"ENSMUSG00000000263",1,11,1,14,4,5,2,7,9,1
"ENSMUSG00000000266",378.000225744142,893,449,693,881,474,658.000088788311,706.020830723924,904.10346925011,615
"ENSMUSG00000000275",1169.07243525241,1319.43915240524,3118.80144472325,1367.64895506926,1536.46595031215,1252.04489942484,1273.68797719564,1067.02418345704,1270.15509879349,937.695667631042
"ENSMUSG00000000276",138.113887210073,1043.09230141263,221.264947235884,629.106221438493,848.878009139655,497.310989448676,760.562799523025,829.071751558949,990,703.086668588609
"ENSMUSG00000000278",542,827,605,760,1012,911,741,646,795,628
"ENSMUSG00000000282",329,646,354,520,757,444,603,432,443,516
"ENSMUSG00000000290",1154,430,76,379,497,819,494,185,302,411
"ENSMUSG00000000295",79,49,74,61,54,57,58,50,50,42
"ENSMUSG00000000296",33,114,86,85,141,116,91,79,105,91
"ENSMUSG00000000301",15,32,40,23,48,47,22,19,25,20
"ENSMUSG00000000303",4882.94163837015,3834,9806,4239,5043,4153,3625.6582275925,3068,3668,2980
"ENSMUSG00000000305",18,92,34,138,213,106,125,94,122,86
"ENSMUSG00000000308",11713,437,19697,3440,2239,3757,787,292,611,199
"ENSMUSG00000000317",23,110,45,115,162,191,131,90,84,70
"ENSMUSG00000000318",23,92.3674291010714,10,63,53.4831922637315,103.550216338925,151.398762324119,24.9063641443091,44.2278694761448,73.4717956405519
"ENSMUSG00000000320",10.1196049956653,22,11.0007354674952,29,37.1635037534674,35,23.153678823587,17,9.00007669589073,11.1035252849955
"ENSMUSG00000000326",997.694085156497,1001.42330145173,1828.09902561507,995.37467613915,1351.01423528268,1247.52142183198,978.073848191122,731.923272876689,803.923158211878,695.558404922115
"ENSMUSG00000000339",263,164,382,198,204,234,178,142,144,143
"ENSMUSG00000000340",437.795008133658,284.559057403622,487.68296545497,255.504217812331,336.083113900531,230.551294460278,220.687536675683,245.612167339289,282.729982855818,280.274245394352
"ENSMUSG00000000346",3002,1745,3567,2026,2203,2119,1509,1281.68419205571,1486,1436
"ENSMUSG00000000355",253,229,253,189,252,262,227,200,198,183
"ENSMUSG00000000359",14,17,2,5,7,19,13,6,2,14
"ENSMUSG00000000365",1,0,1,4,5,5,5,3,2,1
"ENSMUSG00000000374",1364,1302,2002,1189,1419,1131,1025,923,1018,999
"ENSMUSG00000000378",506,379,240,359,431,536,387,241,308,291
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",714.627253760663,261,1089.49992094524,301,307.099831180183,434,315.968984636733,216,225.237291138799,262.375627621645
"ENSMUSG00000000385",1623,137,2923,550,479,667,233,135,135,123
"ENSMUSG00000000386",36.8530479670738,21.2564649790628,77.6497300722864,23,21.2269631714056,28.7258222541697,9,8,9,8
"ENSMUSG00000000392",13,3,6,10,10,5,2,3,1,6
"ENSMUSG00000000394",6588,92722,32675,95336,140548,303991,99932,72307,59371,63130
"ENSMUSG00000000399",1311.00274090582,506.000551867116,2133,706,723.001701890512,906.004762899225,563.003010247926,385,483,451
"ENSMUSG00000000402",1.00005670793173,1.00005175551982,4.01288045613493,4.00031090393433,3.00037153283086,8.00065588144192,2.00173073161262,5.00057353514209,6.00042102866935,6.00057194534076
"ENSMUSG00000000409",1241,124,70,179,137,267,22,33,17,86
"ENSMUSG00000000411",0,0,0,0,0,2,0,1,1,1
"ENSMUSG00000000416",31,494,138,283,392,229,342,385,408,326
"ENSMUSG00000000420",2101,1302,2730,1519,1582,1357,1070,946,1152,1022
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",244.000320739076,351.000358345924,336.000665391743,255,361,315,262,241,316.000107101348,262.000225380028
"ENSMUSG00000000440",227,108,368,140,173,177,132,94,102,77
"ENSMUSG00000000441",1243,779,1418,813,917,817,698,537,575,631
"ENSMUSG00000000486",909,211,46,201,156,336,35,50,41,166
"ENSMUSG00000000489",72,171,39,104,169,134,156,81,93,116
"ENSMUSG00000000530",127,209,56,121,246,222,208,133,125,127
"ENSMUSG00000000531",26.1059468844595,62.0043605121445,38.985630343613,45.0134160084639,76.4960172739759,80.0089075698555,69.0080106082643,80.0124720462305,73.8114800936762,60.007773517297
"ENSMUSG00000000532",634,633,1063,538,650,515,485,408,497,419
"ENSMUSG00000000538",870,1390,1313,1175,1777,1114,1258,1078,1255,1033
"ENSMUSG00000000544",2909,191,5447,1032,862,1069,207,59,158,63
"ENSMUSG00000000552",98,89,16,59,90,143,62,33,44,55
"ENSMUSG00000000555",75,100,48.3081468679336,69,75,116,156,81,64,146
"ENSMUSG00000000560",15.2502086868583,2,17.7538899827136,6.81245174704523,3.0000700528044,4.00041910382989,4.00083747518993,0,5.09982046593431,0
"ENSMUSG00000000561",338.882199869276,406.991096257573,466.912593960945,394.972915094614,465.598187283583,479,409,315.99999995878,359.292558923663,324.479932927735
"ENSMUSG00000000562",6.46162860480992,13.0885156963974,12,9,15,20.4855246042212,12.5364879334076,6.97876006821923,7.00027603347737,6.19809227483907
"ENSMUSG00000000563",4161,1568,6413,2107,2198,2688,1686,1173,1497.91770530639,1264
"ENSMUSG00000000567",123,45,422,96,88.4290260098743,62,80,16,17,60
"ENSMUSG00000000568",887.02096504175,743.029411701881,1037.02392895163,702.022191911303,859.053926621542,835.02284691367,595.041743659452,552.011829890754,636.670811439465,597.017892624866
"ENSMUSG00000000579",84.376141714344,151.875772885711,96.2780196081444,102.788384091911,157.024019640401,118.014309144919,164.383716125072,176.08181120579,117.264010277043,119.949867137905
"ENSMUSG00000000581",327,304,473,279,319,327,194,208,252,211
"ENSMUSG00000000594",803,642,314,568,695,931,529,303,401,466
"ENSMUSG00000000600",332.664601268308,628.402251573424,358.051114388128,401.086226334479,564.658826524027,394,443.715201778663,437.432078306901,490.900717463738,425.533204548522
"ENSMUSG00000000605",781,996.588677268993,847,741,1047,779,689,697,770,671
"ENSMUSG00000000606",0,1.07096972195712,0,1,1,0,1.02208927422189,0,1,0
"ENSMUSG00000000617",4,2,0,0,3,3,0,0,1,0
"ENSMUSG00000000627",49.0476937876222,67.1088610034868,10.0065242468363,31.0276495181186,62.0025869215608,59.0482936067483,56.045000454611,29.013961965309,28.0004830802454,32.0005219294338
"ENSMUSG00000000628",138,52,188,45,36,56.0105608057973,69,36.2429999442326,33,101.008829758286
"ENSMUSG00000000631",1574.00980669795,1424.01167400572,2273.9871884149,1502.01355729113,1982.01455430954,1495.0051343147,1263.01850401717,1157.02047807801,1333.0011598255,1116.00576223523
"ENSMUSG00000000632",3,12,4,18,21,3,6,20,10,6
"ENSMUSG00000000673",54,37,9,35.7943950068801,29,91.0168953312893,13,10,23,24
"ENSMUSG00000000682",1506,432,80,487,405,1021,111,100,119,352
"ENSMUSG00000000686",50,688,120,397,525,251,515,454,558,390
"ENSMUSG00000000690",3,4,0,1,11.004756445259,2,5,5.00623403912834,1,3
"ENSMUSG00000000693",10,14,10,20,17,23,11,8,5,11
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,2.00008776557547,0,1.00009594086182,0,0,0,2.02833872115492,0
"ENSMUSG00000000708",443,838,605,772,947,632,710,720,813,650
"ENSMUSG00000000711",1239,1855,1295,1406,2055,1461,1567,1332,1744,1406
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000731",13,2,3,3,4.004674848701,4.62516683022444,1,0,1,1
"ENSMUSG00000000732",326,158,74,226,135,204,79,76,79,116
"ENSMUSG00000000738",595,519,1123.02548746899,545,704,733,523,404,446.017310878766,372.091752035476
"ENSMUSG00000000739",11.7393438096526,3.87447447113812,3.00019226756609,2.00040385713099,5.78191450932041,3,9.90760927592525e-06,4.02333185964059,4.00044309057975,2
"ENSMUSG00000000740",4740.89261773682,2822.32443696188,4292.32278581366,2991.23957222336,3095.63586825001,4571.50932293846,3724.41668904266,1832.73725895749,2307.76532805482,3401.59147285035
"ENSMUSG00000000743",1104,910,1547,802,1041,1012,801,609,770,633
"ENSMUSG00000000751",680,1147,591,943,1190,1072,929,823,989,777
"ENSMUSG00000000753",38,61,5,20,41,91,32,12,17,39
"ENSMUSG00000000759",309,453.454236641458,405,358,468,336,330,394,341,359.609522347167
"ENSMUSG00000000766",0,3,0,1,0,1,2,2,4,2
"ENSMUSG00000000776",133,292,170,262,377,276,305,228,287,282
"ENSMUSG00000000782",2289,201,97,273,136,248,29,55,37,146
"ENSMUSG00000000787",3571,3966,4258,3536,4002,2732,2926.84403145604,3066,3533,3473
"ENSMUSG00000000791",50.0002658328424,38.0000957416059,6.03196149526567,17.1155000277404,8.00020820292712,19.0004456777793,7.0301244359408,8.00030586142083,6,20.0043352596264
"ENSMUSG00000000792",75,17,6,10,12,10,2,8,7,6
"ENSMUSG00000000794",57,1640,289,1309,1241,485,1084,1338,1584,875
"ENSMUSG00000000804",750,660,685,642,729,523,525,543,647,495
"ENSMUSG00000000805",606,105,1698,256,254,425,143,99,105,62
"ENSMUSG00000000811",35,31,66,53,61,57,57,28,43,46
"ENSMUSG00000000817",19,1,4,2,2,6,0,0,0,2
"ENSMUSG00000000823",244,645.685933182624,291.678555011294,496,642,417,514,510,537,444.63840910652
"ENSMUSG00000000826",1229,1782,1313,1439,1852,1352,1509,1212,1355,1233
"ENSMUSG00000000827",416,530,551,429,590,574,493,389,482,412
"ENSMUSG00000000838",420,488.014552799425,551.008787449925,469.019614141369,540.015720664502,322,338,353.023587868056,453,390
"ENSMUSG00000000861",241,187,163.003299205557,178,149.000553334533,228.001063561799,85.0014131646383,101.680907705581,130.548982115191,182
"ENSMUSG00000000869",1,0,0,0,0,2,0,1,0,0
"ENSMUSG00000000876",478.117799357243,222.029031363429,932.01195473673,317.325095215314,356.007030543861,334.929261370534,233.63176348054,188.57468711038,180.272098426882,153.008875717185
"ENSMUSG00000000881",541,675,967,705,904,662,551,457,588,421
"ENSMUSG00000000884",23,47,42,40,35,45,51,48,55,33
"ENSMUSG00000000889",2,1,0,0,2,0,0,1,3,2
"ENSMUSG00000000901",6,6,5,9,13,6,8,2,5,3
"ENSMUSG00000000902",403.102037596463,398.505746714954,619.934670102474,341.81565956776,447.642067575768,526.1956276673,310.514640193755,309.054481000852,320.06266756697,274.659932647278
"ENSMUSG00000000903",21,18,6,23,12,43,3,6,9,19
"ENSMUSG00000000915",1340,1849,1935.67166238148,1522.13444606451,2158,1771.09044188051,1632,1243.04510741117,1464,1196
"ENSMUSG00000000916",96,132,138,104,130,110,110,81,80,92
"ENSMUSG00000000934",87,13,149,36,33,50,26,19,15,25
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942",4,0,6,1,2,1,3,0,3,0
"ENSMUSG00000000948",7.04279822141881,21.2265599395653,34.4016210928695,24.6977466696118,19.3953757376111,9,3,28.001386894157,17.594603638989,32.7120097548407
"ENSMUSG00000000957",282,76,432.907656520158,145,160,240,91,32,40,113
"ENSMUSG00000000958",1281,100,2318,387,327,430,109,44,66,61
"ENSMUSG00000000959",737,454,1244,562,636,633,494,361,387,392
"ENSMUSG00000000976",316,307,491.024070798468,315,401.23438830647,250,289,279,237,223
"ENSMUSG00000000982",7,5,0,3,10,5,32,10,14,17
"ENSMUSG00000000983",4,3,87,22,13,34,7,1,7,3
"ENSMUSG00000001014",1,1,1,3,0,0,0,2,1,1
"ENSMUSG00000001016",399.291539708529,584.200769342443,602.885265810855,507.100428469869,568.621916426291,612.639193355006,454.314173809276,393.257787737324,447.427049006238,397.277306896635
"ENSMUSG00000001017",1040,1345,1204,1157,1477,1284,1045,1053,1152,1014
"ENSMUSG00000001018",216,304,232,300,430,331,269,226,257,245
"ENSMUSG00000001020",162,166,19,107,136,209,94,81,75,138
"ENSMUSG00000001021",0,3,0,2,0,2,2,1,1,0
"ENSMUSG00000001023",1,0,1,0,0,0,0,0,0,1
"ENSMUSG00000001025",248,274,95,116,196,402,177,113,108,237
"ENSMUSG00000001027",31,12,2,9,11,30,5,4,12,14
"ENSMUSG00000001029",150,68,12,78,104,150,46,38,39,52
"ENSMUSG00000001034",136,199,128,159,185,180,176,145,159,160
"ENSMUSG00000001036",103,398,186,278,412,309,376,345,354,342
"ENSMUSG00000001039",21,128,58,105,179,197,146,110,162,102
"ENSMUSG00000001052",727,929,759,770,1025,671,682,681,806,676
"ENSMUSG00000001053",64,47,41,30,40,59,38,33,32,55
"ENSMUSG00000001054",240,250,227,219,311,327,188,206,237,178
"ENSMUSG00000001056",215,111,341,99,97,180,142,56,82,115
"ENSMUSG00000001062",186.064361615761,314.045254696202,206,238.192334276144,315,235.47931398895,293.442381919513,218,234.007422534554,229.030198948915
"ENSMUSG00000001065",218,253,249,197,260,202,212,162,152,201
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000001082",196,268,269,216,317,317,294,228,174,213
"ENSMUSG00000001089",1076,588,1669,640,715,427,464,404,512,400
"ENSMUSG00000001095",113,18,286,39,51,53,4,5,7,1
"ENSMUSG00000001098",863,595,849,606,661,633,567,443,458,479
"ENSMUSG00000001100",459.071668273752,562.179235043056,812,473.004767317934,667.212659995446,599,572,459.00731358068,535.493674354438,450
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",609.978417395465,756,769,601,989,972,935,649,646,603
"ENSMUSG00000001119",193,107,56,126,183,249,91,68,64,95
"ENSMUSG00000001120",63,616,125,443,709,522,605,480,559,466
"ENSMUSG00000001123",4118,182,14990,2182,1279,2472,471,126,242,174
"ENSMUSG00000001127",803.159318107498,2388.84487731395,1290.13669144475,1640,2636.18385004525,1919.00479921652,2215.02719060701,2052.48553797959,1974.68122125925,1688.2116163236
"ENSMUSG00000001128",194,348,43,190,337,609,399,138,151,258
"ENSMUSG00000001131",3,3,1,11,8,31,5,2,10,9
"ENSMUSG00000001134",120,117,187,109.814018437836,146,147,116,106.805429614033,100,88
"ENSMUSG00000001138",176,444.023404559065,262,330,425,349,412,301,335,364
"ENSMUSG00000001143",230.228158384956,648.17446168353,275.303231108674,367.291046168867,598.74318370701,364.043752310252,501.439641657217,464.305289807232,528.060998135946,419.007173385575
"ENSMUSG00000001150",391,614,450,438,576,411,421,380,497,391
"ENSMUSG00000001151",430,416,471,388,441,302,314,285,373,339
"ENSMUSG00000001155",0,0,1,0,1,2,0,2,0,3
"ENSMUSG00000001156",1260,530,2340,713,1035,714,379,265,276,261
"ENSMUSG00000001157",355.011034142372,214.003803835809,509.035869305488,239.00212843648,237.001701408618,242.012368264581,148.000114257267,156,170.000473381509,133.743301644143
"ENSMUSG00000001158",204,291,256,253,297,375,258,186,277,215
"ENSMUSG00000001166",43,36,65,32,38,39,28,34,24,30
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",167,1155,371,759,1169,768,1111,977.601897183013,1113,989.313898156426
"ENSMUSG00000001175",12313,7650,17428,8811,10098,10011,6787,5751,6585,5297
"ENSMUSG00000001211",1274,1390,1881,1282,1762,1422,1340,1049,1184,989
"ENSMUSG00000001225",1652.00073572754,20.0001422828583,2419.16845911993,483.152906159852,236.046890204511,454,83.1479659206726,15.0936828205897,51.0242682955905,8
"ENSMUSG00000001227",54,145,62,107,198,148,170,113,145,103
"ENSMUSG00000001228",313,68,509,113,85,163,35,42,23,46
"ENSMUSG00000001229",711,2085,984,1207,1973,1318,1744,1562,1549,1692
"ENSMUSG00000001240",95,130.825811299886,26,93,147.691668418662,158.484408464467,174,111,110.00285793821,112
"ENSMUSG00000001247",1113,670,2464,798,945,1094,818,530,611,581
"ENSMUSG00000001248",938,1501,247,819,1269,1015,1373,1114,940,1329
"ENSMUSG00000001249",105,150,159,138,148,94,242,143,138,314
"ENSMUSG00000001260",0,12,3,3,10,6,9,14,14,12
"ENSMUSG00000001270",3719,644,6685.91243227774,1447,2018,2185,1045,561,739,347
"ENSMUSG00000001280",1132,1207,1209,1056,1166,739,849,853,911,996
"ENSMUSG00000001281",985,315,53,231,218,385,103,97,61,225
"ENSMUSG00000001285",184.404627582725,281.508488188901,255.819753372966,219.270785634069,304.180558749195,353.804042443673,292.862989349473,204.74352087882,197.971807910517,203.227932119091
"ENSMUSG00000001288",156,384,111,266,402,340,318,215,253,216
"ENSMUSG00000001289",859.595372417275,972.491511811099,1036.18024662703,827.729214365931,1119.8194412508,1436.19595755633,972.137010650527,710.25647912118,849.028192089483,859.772067880909
"ENSMUSG00000001300",625,126,1019,250,247,240,129,109,95,65
"ENSMUSG00000001305",90.0023420972961,76.0018307898797,134,70,70,117,78,66,63,60
"ENSMUSG00000001313",174,78,194,109,78,119,51,58,49,60
"ENSMUSG00000001323",432,289,620.000535496399,349,402,303.963916421783,233,250,269,230
"ENSMUSG00000001333",6,15,5,10,13,9.03293026340928,5,11,13,8.36301043672839
"ENSMUSG00000001334",15.0160351424022,69.0560735946464,19.0785232348839,41.1217269472928,99.4499000010275,84.3409860879594,58.1098660349035,53.2574388305067,60.0561152348583,40.0714224998071
"ENSMUSG00000001348",1319,202,1749,417,317,667,127,83,109,152
"ENSMUSG00000001349",3,16,9,6,10,8,9,2,0,9
"ENSMUSG00000001366",429,667,713,602,844,693,649,524,619,538
"ENSMUSG00000001376",227.034664371665,456.013911578933,421,435,526,451.911474021309,468,401.056770346944,454,380
"ENSMUSG00000001380",526,471,607,440.093158026554,514,533,431,379,368,396
"ENSMUSG00000001383",512,586,699,548,631,754,552,398,532,496
"ENSMUSG00000001403",316.122741235215,48.0177407440327,670.998215397559,118,85.109319797077,218,49,56,39,33
"ENSMUSG00000001415",800.158366066243,886.178431131547,1210.23045695449,755.252810578819,1011.28901426543,838.080912609986,813.176201721332,659.008574568051,729.808788679425,705.01552414393
"ENSMUSG00000001416",1462.00147306699,1299.18378003381,1954.03216129295,1133.00379105911,1317,1643,1030.02047299387,826,946.004054247448,890.000502984425
"ENSMUSG00000001418",809.027333853776,973.91067689199,1195.02370293492,898.580196934276,1400.15661861643,1216.00513189083,1120.03222588726,864.111058022469,959.950337531806,783.924530844731
"ENSMUSG00000001419",1331,2172,1263,1638,2237,1395,1479,1503,1485,1534
"ENSMUSG00000001420",239,37,553,117,95,112,53,19,29,22
"ENSMUSG00000001424",2072,3627,2898,2607,3988,3362,3716.10604583435,2888,3091,3497.41303412629
"ENSMUSG00000001435",68,139,304,105,193,201,109,73,56,132
"ENSMUSG00000001436",396,149,501,192,197,222,170,128,150,134
"ENSMUSG00000001440",2442,2548,2912,2294,2875,2375,2224,1838,2160,1953
"ENSMUSG00000001441",1369.76112434351,1467.07027914984,1921.06327271127,1283,1567,1290,1204,1005,1212,910
"ENSMUSG00000001444",64,16,14,30,10,30,4,12,4,11
"ENSMUSG00000001445",493.815118629877,554.376787226991,818.969885446979,476,641.816617771402,720,480,406,436.127314578804,367
"ENSMUSG00000001467",600,402,674,586,735.432303021696,544,426,359,413.388543906406,306
"ENSMUSG00000001472",2671,4476,3517,3369,5288,3912,4761,3886,3704,4104
"ENSMUSG00000001473",83,155,11,73,111,151,260,88,109,161
"ENSMUSG00000001482",430.992805666013,766,753.278068093352,650,896,684.155739624098,867.179275208944,691.378824802444,745,609
"ENSMUSG00000001493",71,80,22,69,99,133,71,59,50,46
"ENSMUSG00000001494",0,5,0,4,5,8,0,4,9,3
"ENSMUSG00000001496",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001497",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001504",9,92,30,83,116,134,77,39,40,46
"ENSMUSG00000001506",210,109,45,119,195,316,112,40,92,73
"ENSMUSG00000001507",1200,706,2100,814,1002,720,705,513,612,592
"ENSMUSG00000001508",0,1,3,0,0,2,3,3,1,0
"ENSMUSG00000001510",1,0,0,0,0,1,0,0,0,0
"ENSMUSG00000001517",204.95390447197,54,375,102,81,119,62,76,60,33
"ENSMUSG00000001518",101.049592477893,275,189.066010724422,220.041400296198,319.521760712615,253,242,197,240,251.435064490882
"ENSMUSG00000001520",6,22,4.75634162018668,22,26.1118569241823,25.2114950036501,15,11,15,20.9559717513709
"ENSMUSG00000001521",73,292,91.0617729893281,252.456836472227,278.009838716679,250.000223098382,237.000165021902,227.000047851053,232.001054160747,210.563183126684
"ENSMUSG00000001524",106,100.619147433773,157,81,99,126,83,74,88,73
"ENSMUSG00000001525",3171,1764,2072,1696.47165347431,1760,2312,1295,1089,1138,1320
"ENSMUSG00000001542",1072,1647,833,1166,1676.86140602723,1039,1285,1549.76634970279,1695,1636.88559836229
"ENSMUSG00000001552",1705.00026873117,1396.00430757177,3102.00074093898,1114.00622586448,1572.0022259216,1279,1282,883.000213445876,1083.00011843651,1051.00238505294
"ENSMUSG00000001555",25,12,30,22,27,43,15,10,3,21
"ENSMUSG00000001558",2,5,5,10,15,7,4,5,11,10
"ENSMUSG00000001566",17,203,73,137,212,145,187,173,176,101
"ENSMUSG00000001569",291.412643191003,399.558157217823,446.892718689979,370.478141427135,421.803316744097,366.1148085572,306.42804907154,283.550192497933,326.438076986746,266.417886899551
"ENSMUSG00000001576",957,1665,1353,1484,2398,1850,1793,1591,1628,1292
"ENSMUSG00000001583",287.000631324593,231.002114052707,460.003293147817,207,319,228.001298386129,242.010623893288,160,164,198
"ENSMUSG00000001588",631,159,36,161,140,335,39,57,63,149
"ENSMUSG00000001604",281,44,431,93,79,92,64,47,42,95
"ENSMUSG00000001622",0,4.0003902389702,3.01651287240951,1.03492334936206,1.00037785173613,3.00065559521841,0,2.05489106413334,1.00008394767825,1.00034492267802
"ENSMUSG00000001627",600,902,632,770,997,733,869,690,811,1253
"ENSMUSG00000001630",168,496.780258055854,288.834266071278,525,614,410.65072687957,447,424,507,379
"ENSMUSG00000001632",391.95031049244,463.054127307978,443.735658009824,378.094977223483,509.899786281528,329.479824598833,394.975013017891,347.215445292034,309,382.918513739263
"ENSMUSG00000001642",792.207051418902,713.712122892793,579.000090421988,676.151038430994,862.396559880162,945.600965786587,717.279835940191,514.141365272493,559.908125894971,523.95061438529
"ENSMUSG00000001655",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001657",1.00008456164049,2.00012768535383,0,0,0,1.00012209630494,0,0,3.00031365694793,0
"ENSMUSG00000001661",1,0,0,1,5,3,0,0,0,2
"ENSMUSG00000001663",933,359,1458,555,562,626,394,216,320,285
"ENSMUSG00000001665",549.207142327468,73.6458807686781,916.554191685338,207,142.674372717745,202.000659416565,90.0001563909933,44.0001513417595,49.876855810552,81.5952861371385
"ENSMUSG00000001666",301,220,449,234,297,375,212,210,204,186
"ENSMUSG00000001670",27,249,76,212,319,303,479,311,269,211
"ENSMUSG00000001672",278,418,648,384,520,431,385,330,355,253
"ENSMUSG00000001674",470,524.601815848054,478,365.637301286637,486,513,401,335,402,381
"ENSMUSG00000001687",907,2080,1263,1662,2453,2113,1878,1682,1945,1590
"ENSMUSG00000001700",1621,1842,2277,1785,2223,2027,2187,1911,2046,1806
"ENSMUSG00000001707",160,129,221,91,124,143,94,79,103,111
"ENSMUSG00000001729",1404,1927,2022,1600,2338,2008,1885,1498,1577,1526
"ENSMUSG00000001739",3101,95,6350,1007,711,1228,148,43,154,37
"ENSMUSG00000001741",983,299,46.0025289629977,294.083841745263,147.001122032585,389,58,69,94.0060705554066,172
"ENSMUSG00000001750",367,228.304687224421,563.001315010069,228,269.202277120192,362.003436759422,254,155.81297497516,122,203
"ENSMUSG00000001751",181,315,235,329,469,399,301,266,291,209
"ENSMUSG00000001755",331,581,627,412,675,609,519,498,501,460
"ENSMUSG00000001761",64.002469793537,85.0030534915915,144.002780590607,102.005455373788,90.0033064428219,86.0049567841515,63.1471241054378,51.0066686220567,67.0031493546471,65.0040724201556
"ENSMUSG00000001763",60.1746294432541,435.109140175932,126,371.022047195921,502.079149976565,487.004988670223,416.031599475052,358.044759951442,412.014412660722,276.001169311243
"ENSMUSG00000001767",273,317,359,319,353,343,249,255,295,269
"ENSMUSG00000001768",282,302,480.002254049757,258,312,277,420,261,353,267
